t AmpOcean AmpIce
0 0.0997592 0.0997592
0.000909091 0.0997587 0.0997594
0.00335227 0.0997553 0.0997559
0.00640625 0.099747 0.0997472
0.0101389 0.0997307 0.09973
0.0144048 0.0997043 0.0997021
0.0186706 0.09967 0.099666
0.024003 0.0996151 0.0996082
0.0293353 0.099548 0.0995378
0.0346677 0.0994689 0.099455
0.04 0.0993777 0.0993597
0.0466667 0.0992451 0.0992216
0.0533333 0.0990939 0.0990647
0.06 0.0989245 0.0988893
0.0666667 0.0987369 0.0986957
0.0733333 0.0985315 0.0984842
0.08 0.0983084 0.0982548
0.088 0.0980153 0.0979538
0.096 0.0976966 0.097627
0.104 0.0973535 0.0972752
0.112 0.0969858 0.0968987
0.12 0.0965943 0.0964994
0.128 0.0961785 0.096075
0.136 0.0957397 0.0956267
0.144 0.0952778 0.0951544
0.152 0.0947937 0.0946586
0.16 0.0942857 0.0941384
0.168 0.0937554 0.0935947
0.176 0.0932022 0.0930272
0.184 0.0926286 0.0924361
0.192 0.0920341 0.0918224
0.2 0.09142 0.0911869
0.208 0.0907847 0.0905289
0.216 0.0901311 0.0898498
0.224 0.0894576 0.0891499
0.232 0.0887692 0.0884326
0.24 0.0880656 0.0877042
0.248 0.0873442 0.0869553
0.256 0.0866026 0.0861856
0.264 0.0858441 0.0853982
0.272 0.0850621 0.0845914
0.28 0.0842639 0.0837679
0.288 0.0834473 0.082926
0.296 0.0826153 0.0820685
0.304 0.0817652 0.0811935
0.312 0.0809 0.0803031
0.32 0.080017 0.0793958
0.328 0.0791191 0.0784737
0.336 0.0782029 0.0775346
0.344 0.0772709 0.0765804
0.352 0.0763231 0.0756117
0.36 0.0753642 0.0746299
0.368 0.074388 0.0736301
0.376 0.0733962 0.0726052
0.384 0.0723874 0.0715712
0.392 0.0713707 0.070527
0.4 0.070342 0.0694699
0.408 0.0693048 0.0684007
0.416 0.0682566 0.0673177
0.424 0.0672004 0.066224
0.432 0.0661323 0.0651173
0.44 0.0650564 0.0640077
0.448 0.0639698 0.0628871
0.456 0.0628735 0.0617567
0.464 0.0617655 0.0606152
0.472 0.0606486 0.0594654
0.48 0.0595225 0.0583066
0.488 0.0583945 0.0571375
0.496 0.0572658 0.0559849
0.504 0.0561364 0.0548266
0.512 0.0549977 0.0536593
0.52 0.0538585 0.0524884
0.528 0.0527072 0.0513123
0.536 0.0515541 0.0501324
0.544 0.050396 0.048946
0.552 0.0492353 0.0477552
0.56 0.0480681 0.0465584
0.568 0.0468996 0.0453597
0.576 0.0457242 0.044155
0.584 0.0445459 0.0429422
0.592 0.0433579 0.0417196
0.6 0.0421648 0.0404849
0.608 0.0409695 0.0392543
0.616 0.0397816 0.0380304
0.624 0.0385885 0.0368009
0.632 0.0374035 0.0355776
0.64 0.0362146 0.0343512
0.648 0.0350327 0.033136
0.656 0.0338476 0.0319178
0.664 0.0326645 0.0307017
0.672 0.0314838 0.029489
0.68 0.0303015 0.0282739
0.688 0.0291163 0.0270619
0.696 0.0279417 0.0258577
0.704 0.0267747 0.0246674
0.712 0.025614 0.0234795
0.72 0.0244472 0.0222877
0.728 0.0232948 0.0211089
0.736 0.0221339 0.0199246
0.744 0.0209901 0.0187568
0.752 0.0198341 0.0175766
0.76 0.0187082 0.0164262
0.768 0.0175525 0.0152453
0.776 0.0164517 0.0141215
0.784 0.015284 0.0129262
0.792 0.0142302 0.0118562
0.8 0.0131751 0.0107899
0.808 0.0120996 0.00969738
0.816 0.0109855 0.00856107
0.824 0.00987072 0.00741922
0.832 0.00879817 0.00632917
0.84 0.00769097 0.00519291
0.848 0.00666742 0.00416582
0.856 0.00556706 0.00303123
0.864 0.00454815 0.00199847
0.872 0.00346657 0.00206245
0.88 0.00246038 0.00308018
0.888 0.00145827 0.00411806
0.896 0.00171148 0.0051485
0.904 0.0025386 0.00621944
0.912 0.00331614 0.00723717
0.92 0.00415684 0.00829566
0.928 0.00500505 0.00930537
0.936 0.00587984 0.0103457
0.944 0.00674667 0.0113785
0.952 0.00758279 0.012376
0.96 0.00844116 0.0133986
0.968 0.00931703 0.0143999
0.976 0.0101906 0.0153592
0.984 0.0110816 0.0163322
0.992 0.0119571 0.0172939
1 0.0128056 0.0182345
1.008 0.0136596 0.0191984
1.016 0.014523 0.0201156
1.024 0.0153945 0.0210318
1.032 0.0163114 0.0219548
1.04 0.017213 0.0228523
1.048 0.018118 0.0237594
1.056 0.0190051 0.0246559
1.064 0.0198725 0.0255282
1.072 0.0207255 0.0263808
1.08 0.0215631 0.0272154
1.088 0.0223898 0.0280519
1.096 0.023206 0.0288836
1.104 0.0240238 0.0297019
1.112 0.0248506 0.030519
1.12 0.0256607 0.031321
1.128 0.0264617 0.0321133
1.136 0.0272452 0.0328872
1.144 0.0280184 0.0336502
1.152 0.0287736 0.0343943
1.16 0.0295191 0.0351276
1.168 0.0302462 0.0358423
1.176 0.0309637 0.0365469
1.184 0.0316872 0.0372308
1.192 0.0324026 0.0379054
1.2 0.0331037 0.0385617
1.208 0.0337911 0.039203
1.216 0.0344633 0.0398282
1.224 0.0351201 0.0404376
1.232 0.0357623 0.0410322
1.24 0.0363888 0.04161
1.248 0.0370005 0.0421729
1.256 0.0375958 0.0427188
1.264 0.0381764 0.0432483
1.272 0.0387389 0.0437568
1.28 0.0392858 0.044249
1.288 0.0398138 0.0447243
1.296 0.0403265 0.0451848
1.304 0.0408222 0.0456293
1.312 0.0413036 0.0460605
1.32 0.0417684 0.0464762
1.328 0.0422185 0.0468782
1.336 0.0426523 0.0472649
1.344 0.0430711 0.0476377
1.352 0.0434743 0.0479957
1.36 0.0438626 0.0483394
1.368 0.044235 0.0486681
1.376 0.0445929 0.0489826
1.384 0.0449353 0.0492823
1.392 0.045263 0.0495674
1.4 0.0455749 0.0498372
1.408 0.0458731 0.0500934
1.416 0.046156 0.0503346
1.424 0.0464247 0.0505612
1.432 0.0466783 0.0507729
1.44 0.0469179 0.0509705
1.448 0.0471425 0.0511532
1.456 0.0473461 0.0513201
1.464 0.0475376 0.0514705
1.472 0.0477153 0.0516057
1.48 0.0478782 0.0517255
1.488 0.0480266 0.05183
1.496 0.0481611 0.0519208
1.504 0.0482821 0.0519962
1.512 0.0483888 0.0520565
1.52 0.0484817 0.0521022
1.528 0.0485603 0.0521331
1.536 0.048625 0.0521496
1.544 0.0486757 0.0521516
1.552 0.0487126 0.0521393
1.56 0.0487351 0.0521126
1.568 0.0487444 0.0520727
1.576 0.0487397 0.0520188
1.584 0.0487214 0.0519516
1.592 0.0486895 0.0518713
1.6 0.048644 0.051778
1.608 0.0485855 0.0516723
1.616 0.0485133 0.0515538
1.624 0.0484283 0.0514233
1.632 0.04833 0.0512805
1.64 0.048219 0.0511259
1.648 0.0480951 0.0509594
1.656 0.0479588 0.0507814
1.664 0.0478095 0.0505912
