t AmpOcean AmpIce
0 0.0997592 0.0997592
0.000909091 0.0997589 0.0997589
0.00335227 0.0997554 0.0997552
0.00640625 0.099747 0.0997463
0.0101389 0.0997307 0.0997293
0.0144048 0.0997044 0.0997018
0.0186706 0.0996703 0.0996663
0.024003 0.0996156 0.0996096
0.0293353 0.099549 0.0995405
0.0346677 0.0994705 0.0994593
0.04 0.0993802 0.099366
0.0466667 0.099249 0.0992305
0.0533333 0.0990996 0.0990763
0.06 0.0989321 0.0989038
0.0666667 0.0987466 0.0987128
0.0733333 0.0985435 0.0985037
0.08 0.0983226 0.0982766
0.088 0.0980325 0.0979784
0.096 0.0977174 0.0976547
0.104 0.0973778 0.0973059
0.112 0.0970135 0.096932
0.12 0.0966253 0.0965335
0.128 0.096213 0.0961106
0.136 0.0957774 0.0956637
0.144 0.0953181 0.0951928
0.152 0.0948361 0.0946984
0.16 0.0943309 0.0941807
0.168 0.0938037 0.09364
0.176 0.0932538 0.0930764
0.184 0.0926829 0.0924904
0.192 0.0920899 0.0918822
0.2 0.0914767 0.0912521
0.208 0.0908418 0.0906003
0.216 0.0901874 0.0899271
0.224 0.089512 0.0892329
0.232 0.0888178 0.0885189
0.24 0.0881031 0.0877845
0.248 0.0873703 0.0870313
0.256 0.0866175 0.0862583
0.264 0.0858474 0.0854672
0.272 0.085058 0.084657
0.28 0.0842519 0.0838293
0.288 0.0834271 0.082983
0.296 0.0825865 0.08212
0.304 0.0817279 0.0812392
0.312 0.0808541 0.0803422
0.32 0.079963 0.079428
0.328 0.0790574 0.0784982
0.336 0.0781351 0.077552
0.344 0.0771999 0.0765908
0.352 0.0762486 0.075614
0.36 0.0752856 0.0746229
0.368 0.0743073 0.0736168
0.376 0.0733181 0.0725985
0.384 0.0723142 0.0715661
0.392 0.0713 0.0705225
0.4 0.0702718 0.0694654
0.408 0.0692341 0.0683979
0.416 0.0681831 0.0673175
0.424 0.0671233 0.0662273
0.432 0.0660511 0.0651249
0.44 0.0649709 0.0640134
0.448 0.0638789 0.0628904
0.456 0.0627796 0.061759
0.464 0.0616694 0.0606169
0.472 0.0605539 0.0594671
0.48 0.0594283 0.0583078
0.488 0.0582984 0.0571423
0.496 0.0571589 0.0559682
0.504 0.0560157 0.0547896
0.512 0.0548637 0.0536028
0.52 0.0537086 0.052412
0.528 0.0525454 0.0512138
0.536 0.0513797 0.0500121
0.544 0.0502068 0.0488037
0.552 0.049032 0.0475924
0.56 0.0478507 0.0463751
0.568 0.0466685 0.0451555
0.576 0.0454806 0.0439308
0.584 0.0442936 0.0427045
0.592 0.0431017 0.041474
0.6 0.0419114 0.0402447
0.608 0.0407169 0.0390119
0.616 0.0395244 0.0377805
0.624 0.0383283 0.0365463
0.632 0.0371348 0.035314
0.64 0.0359384 0.0340795
0.648 0.0347451 0.0328473
0.656 0.0335497 0.0316136
0.664 0.0323579 0.0303827
0.672 0.0311646 0.029151
0.68 0.0299762 0.0279226
0.688 0.0287872 0.0266942
0.696 0.0276042 0.025471
0.704 0.0264211 0.0242486
0.712 0.0252445 0.0230324
0.72 0.0240683 0.0218175
0.728 0.022899 0.0206089
0.736 0.0217308 0.0194023
0.744 0.0205695 0.0182023
0.752 0.0194101 0.0170049
0.76 0.0182582 0.0158144
0.768 0.0171085 0.0146271
0.776 0.0159667 0.0134471
0.784 0.0148278 0.0122708
0.792 0.0136982 0.0111025
0.8 0.0125721 0.00993874
0.808 0.0114556 0.0087845
0.816 0.0103433 0.00763536
0.824 0.00924082 0.00649592
0.832 0.00814291 0.00536193
0.84 0.00705514 0.00423797
0.848 0.00597241 0.00334485
0.856 0.00489984 0.00462525
0.864 0.00383296 0.0058945
0.872 0.00277642 0.00715558
0.88 0.001726 0.00840495
0.888 0.00110511 0.0096454
0.896 0.00200356 0.0108736
0.904 0.00293369 0.0120916
0.912 0.00389505 0.013297
0.92 0.00484916 0.0144907
0.928 0.00580449 0.0156714
0.936 0.00680687 0.0168399
0.944 0.00779888 0.0179949
0.952 0.00878241 0.0191371
0.96 0.00975514 0.0202654
0.968 0.0107685 0.0213803
0.976 0.0117713 0.022481
0.984 0.0127644 0.0235677
0.992 0.0137453 0.0246399
1 0.0147158 0.0256973
1.008 0.0157029 0.0267397
1.016 0.0166852 0.0277667
1.024 0.0176541 0.0287785
1.032 0.0186105 0.0297741
1.04 0.0195531 0.0307543
1.048 0.0204827 0.0317179
1.056 0.0213992 0.0326659
1.064 0.0223228 0.033597
1.072 0.0232319 0.0345122
1.08 0.0241267 0.0354102
1.088 0.0250067 0.0362921
1.096 0.025872 0.0371566
1.104 0.0267224 0.0380047
1.112 0.0275624 0.0388352
1.12 0.0283921 0.0396491
1.128 0.0292063 0.0404451
1.136 0.0300048 0.0412244
1.144 0.0307876 0.0419856
1.152 0.0315546 0.0427299
1.16 0.032305 0.0434558
1.168 0.0330396 0.0441648
1.176 0.0337571 0.0448552
1.184 0.0344585 0.0455285
1.192 0.0351427 0.0461831
1.2 0.0358106 0.0468205
1.208 0.0364611 0.0474392
1.216 0.0370953 0.0480407
1.224 0.0377121 0.0486235
1.232 0.0383125 0.0491891
1.24 0.0388953 0.049736
1.248 0.0394617 0.0502657
1.256 0.0400105 0.0507767
1.264 0.0405428 0.0512704
1.272 0.0410574 0.0517456
1.28 0.0415555 0.0522035
1.288 0.0420359 0.0526428
1.296 0.0424998 0.0530648
1.304 0.042946 0.0534684
1.312 0.0433757 0.0538548
1.32 0.0437878 0.0542229
1.328 0.0441835 0.0545738
1.336 0.0445616 0.0549066
1.344 0.0449234 0.0552223
1.352 0.0452676 0.05552
1.36 0.0455955 0.0558006
1.368 0.045906 0.0560634
1.376 0.0462003 0.0563092
1.384 0.0464774 0.0565375
1.392 0.0467383 0.056749
1.4 0.0469822 0.0569431
1.408 0.04721 0.0571206
1.416 0.047421 0.0572809
1.424 0.047616 0.0574247
1.432 0.0477943 0.0575515
1.44 0.0479568 0.057662
1.448 0.048103 0.057756
1.456 0.0482334 0.0578337
1.464 0.0483481 0.0578951
1.472 0.0484473 0.0579404
1.48 0.0485306 0.0579698
1.488 0.0485986 0.0579833
1.496 0.048651 0.0579811
1.504 0.0486882 0.0579634
1.512 0.0487101 0.0579306
1.52 0.048717 0.0578825
1.528 0.0487089 0.0578193
1.536 0.0486861 0.057741
1.544 0.0486486 0.0576479
1.552 0.0485965 0.05754
1.56 0.0485301 0.0574178
1.568 0.0484494 0.0572809
1.576 0.0483548 0.0571301
1.584 0.048246 0.056965
1.592 0.0481236 0.0567863
1.6 0.0479874 0.0565936
1.608 0.047838 0.0563876
1.616 0.0476749 0.0561679
1.624 0.047499 0.0559354
1.632 0.0473098 0.0556895
1.64 0.0471081 0.0554311
1.648 0.0468934 0.0551595
1.656 0.0466667 0.054876
1.664 0.0464271 0.0545796
1.672 0.0461761 0.0542716
1.68 0.0459125 0.053951
1.69 0.0455657 0.0535327
1.6975 0.0452948 0.0532083
1.705 0.0450147 0.0528744
1.7125 0.0447241 0.0525301
1.72 0.0444246 0.0521767
1.73 0.0440071 0.0516875
1.74 0.0435747 0.0511829
1.74667 0.0432786 0.0508388
1.75333 0.0429762 0.0504881
1.76 0.0426662 0.0501299
1.77 0.042187 0.049578
1.78 0.0416915 0.0490099
1.79 0.0411831 0.0484284
1.795 0.040925 0.0481338
1.8 0.0406638 0.047836
1.81 0.0401261 0.0472252
1.82 0.039577 0.0466023
1.83 0.0390133 0.0459652
1.84 0.0384389 0.0453167
1.85 0.0378509 0.0446549
1.86 0.037253 0.0439826
1.87 0.0366423 0.0432978
1.875 0.0363351 0.0429534
1.88 0.0360248 0.042606
1.89 0.0353949 0.0419022
1.9 0.0347532 0.0411872
1.91 0.0341037 0.040465
1.92 0.033443 0.0397322
1.93 0.0327754 0.0389927
1.94 0.0320973 0.0382434
1.95 0.0314131 0.0374882
1.96 0.030719 0.0367238
1.97 0.0300201 0.0359542
1.98 0.0293121 0.0351761
1.99 0.0286001 0.0343936
2 0.0278798 0.0336034
2.01 0.0271563 0.0328094
2.02 0.0264252 0.0320085
2.03 0.0256917 0.0312046
2.04 0.0249514 0.0303945
2.05 0.0242094 0.0295821
2.06 0.0234623 0.0287645
2.07 0.0227193 0.0279453
2.08 0.0219712 0.0271217
2.09 0.0212228 0.0262981
2.1 0.0204742 0.0254711
2.11 0.0197338 0.0246451
2.12 0.0189897 0.0238164
2.13 0.0182462 0.0229892
2.14 0.0175052 0.0221599
2.15 0.0167783 0.0213326
2.16 0.0160492 0.0205039
2.17 0.0153217 0.0196777
2.18 0.0146057 0.0188507
2.19 0.013904 0.0180269
2.195 0.013553 0.0176149
2.2 0.0132025 0.0172038
2.21 0.0125011 0.0163818
2.22 0.0118305 0.0155637
2.23 0.0111638 0.0147464
2.24 0.0105 0.0139335
2.25 0.00984207 0.0131221
2.26 0.00922009 0.0123157
2.27 0.00859924 0.0115113
2.28 0.0079813 0.0107128
2.29 0.00738396 0.00991729
2.3 0.0068138 0.0091285
2.31 0.00624567 0.0083431
2.32 0.00569112 0.00756479
2.33 0.00517601 0.00679047
2.34 0.0046752 0.00602362
2.35 0.00421671 0.00526123
2.36 0.00380227 0.00450665
2.37 0.00340576 0.00375709
2.38 0.00306832 0.00301565
2.39 0.00278006 0.00227972
2.4 0.00254469 0.00155222
2.41 0.00234847 0.000832291
2.42 0.00221427 0.000202473
2.43 0.00221536 0.000682642
2.44 0.00224733 0.00145283
2.45 0.0023192 0.00221475
2.46 0.00238777 0.0029705
2.47 0.00268638 0.00371746
2.48 0.00304148 0.00445766
2.49 0.0034867 0.00518857
2.5 0.00397694 0.00591167
2.51 0.00448132 0.00662501
2.52 0.00501575 0.00733018
2.53 0.00563533 0.00802512
2.54 0.00624951 0.00871133
2.55 0.00687403 0.00938694
2.56 0.00749085 0.0100532
2.57 0.00810249 0.0107084
2.58 0.00871521 0.0113537
2.59 0.00932256 0.0119876
2.6 0.00992291 0.0126107
2.61 0.0105125 0.0132221
2.62 0.0110927 0.0138223
2.63 0.0116619 0.0144104
2.64 0.0122213 0.014987
2.65 0.0127694 0.0155512
2.66 0.0133072 0.0161035
2.67 0.0138336 0.0166432
2.68 0.0143492 0.0171706
2.69 0.0148531 0.0176852
2.7 0.0153459 0.0181872
2.71 0.0158266 0.018676
2.72 0.0162956 0.0191519
2.73 0.0167524 0.0196146
2.74 0.0171972 0.0200641
2.75 0.0176297 0.0205004
2.76 0.0180498 0.0209231
2.77 0.0184574 0.0213323
2.78 0.0188527 0.0217281
2.79 0.0192353 0.0221103
2.8 0.0196052 0.0224788
2.81 0.0199624 0.0228336
2.82 0.0203069 0.0231747
2.83 0.0206386 0.0235021
2.84 0.0209574 0.0238156
2.85 0.0212633 0.0241154
2.86 0.0215562 0.0244012
2.87 0.0218363 0.0246734
2.88 0.0221035 0.0249318
2.89 0.0223579 0.0251765
2.9 0.0225992 0.0254072
2.91 0.0228276 0.0256244
2.92 0.0230431 0.0258278
2.93 0.0232458 0.0260176
2.94 0.0234355 0.0261937
2.95 0.0236126 0.0263564
2.96 0.0237768 0.0265055
2.97 0.0239284 0.0266414
2.98 0.0240673 0.0267638
2.99 0.0241936 0.0268731
3 0.0243074 0.0269692
3.01 0.0244089 0.0270522
3.02 0.024498 0.0271224
3.03 0.0245748 0.0271797
3.04 0.0246395 0.0272243
3.05 0.0246921 0.0272562
3.06 0.0247326 0.0272757
3.07 0.0247613 0.0272827
3.08 0.0247783 0.0272775
3.09 0.0247835 0.0272602
3.1 0.0247772 0.0272309
3.11 0.0247595 0.0271897
3.12 0.0247305 0.0271368
3.13 0.0246904 0.0270723
3.14 0.0246392 0.0269965
3.15 0.0245771 0.0269094
3.16 0.0245044 0.0268113
3.17 0.0244209 0.0267021
3.18 0.0243271 0.0265824
3.19 0.0242228 0.0264528
3.2 0.0241085 0.0263129
3.21 0.0239841 0.0261626
3.22 0.0238499 0.0260024
3.23 0.0237059 0.0258321
3.24 0.0235527 0.0256522
3.25 0.0233898 0.0254626
3.26 0.023218 0.0252639
3.27 0.0230369 0.0250558
3.28 0.0228473 0.024839
3.29 0.0226488 0.0246131
3.3 0.0224422 0.024379
3.31 0.0222269 0.0241361
3.32 0.0220039 0.0238854
3.33 0.0217727 0.0236264
3.34 0.0215341 0.0233599
3.35 0.0212876 0.0230855
3.36 0.0210341 0.022804
3.37 0.0207732 0.022515
3.38 0.0205057 0.0222194
3.39 0.020231 0.0219166
3.4 0.0199502 0.0216076
3.41 0.0196625 0.0212919
3.42 0.0193692 0.0209704
3.43 0.0190694 0.0206426
3.44 0.0187643 0.0203094
3.45 0.0184532 0.0199702
3.46 0.0181371 0.0196262
3.47 0.0178154 0.0192765
3.48 0.0174892 0.0189224
3.49 0.0171578 0.0185631
3.5 0.0168223 0.0181997
3.51 0.0164819 0.0178315
3.52 0.0161378 0.0174597
3.53 0.0157892 0.0170835
3.54 0.0154373 0.016704
3.55 0.0150813 0.0163205
3.56 0.0147225 0.0159342
3.57 0.01436 0.0155443
3.58 0.0139951 0.0151519
3.59 0.013627 0.0147565
3.6 0.0132568 0.0143589
3.61 0.0128837 0.0139586
3.62 0.012509 0.0135566
3.63 0.0121317 0.0131523
3.64 0.0117531 0.0127466
3.65 0.0113727 0.012339
3.66 0.0109917 0.0119306
3.67 0.0106089 0.0115206
3.68 0.0102256 0.0111103
3.69 0.00984094 0.0106989
3.7 0.00945611 0.0102877
3.71 0.0090702 0.00987569
3.72 0.00868453 0.00946424
3.73 0.00829815 0.00905244
3.74 0.00791227 0.00864141
3.75 0.00752839 0.00823037
3.76 0.00714653 0.00782042
3.77 0.00676818 0.00741074
3.78 0.00639448 0.0070024
3.79 0.00602106 0.00659473
3.8 0.00564891 0.00618873
3.81 0.00528736 0.00578374
3.82 0.00492807 0.00538071
3.83 0.00456966 0.00497902
3.84 0.00424325 0.00457964
3.85 0.00395091 0.00418184
3.86 0.00367161 0.00378662
3.87 0.003396 0.00339326
3.88 0.00314528 0.00300276
3.89 0.00289919 0.00261449
3.9 0.00267912 0.00222924
3.91 0.00247589 0.00184648
3.92 0.00228778 0.00146703
3.93 0.00210119 0.00109034
3.94 0.00203814 0.000717149
