t AmpOcean
0 0.0997592
0.000909091 0.0997589
0.00335227 0.0997552
0.00640625 0.0997464
0.0101389 0.0997294
0.0144048 0.0997019
0.0186706 0.0996664
0.024003 0.0996097
0.0293353 0.0995407
0.0346677 0.0994594
0.04 0.099366
0.0466667 0.0992305
0.0533333 0.0990762
0.06 0.0989035
0.0666667 0.0987124
0.0733333 0.0985031
0.08 0.0982757
0.088 0.0979771
0.096 0.097653
0.104 0.0973037
0.112 0.0969294
0.12 0.0965304
0.128 0.0961069
0.136 0.0956591
0.144 0.0951874
0.152 0.0946919
0.16 0.094173
0.168 0.0936312
0.176 0.0930666
0.184 0.0924803
0.192 0.0918718
0.2 0.0912423
0.208 0.0905911
0.216 0.0899196
0.224 0.089227
0.232 0.0885146
0.24 0.0877817
0.248 0.0870297
0.256 0.0862578
0.264 0.0854674
0.272 0.0846579
0.28 0.0838304
0.288 0.0829845
0.296 0.0821212
0.304 0.0812401
0.312 0.0803423
0.32 0.0794275
0.328 0.0784966
0.336 0.0775494
0.344 0.0765885
0.352 0.075612
0.36 0.0746224
0.368 0.0736179
0.376 0.0726012
0.384 0.0715702
0.392 0.0705275
0.4 0.0694712
0.408 0.0684038
0.416 0.0673236
0.424 0.066233
0.432 0.0651305
0.44 0.0640181
0.448 0.0628947
0.456 0.0617631
0.464 0.0625
0.472 0.0594732
0.48 0.0583155
0.488 0.0571519
0.496 0.0559793
0.504 0.0548014
0.512 0.0536152
0.52 0.0524242
0.528 0.0512258
0.536 0.0500234
0.544 0.0488142
0.552 0.0476017
0.56 0.0463835
0.568 0.0451643
0.576 0.0439402
0.584 0.042716
0.592 0.0414874
0.6 0.0402592
0.608 0.0390272
0.616 0.037796
0.624 0.0365618
0.632 0.0353288
0.64 0.0340937
0.648 0.0328603
0.656 0.0316255
0.664 0.030394
0.672 0.0291621
0.68 0.027935
0.688 0.0267079
0.696 0.0254859
0.704 0.0242645
0.712 0.0230486
0.72 0.0218339
0.728 0.0206251
0.736 0.019418
0.744 0.0182172
0.752 0.0170189
0.76 0.0158273
0.768 0.014639
0.776 0.0134593
0.784 0.0122835
0.792 0.0111165
0.8 0.00995389
0.808 0.00880034
0.816 0.00765165
0.824 0.00651227
0.832 0.00537828
0.84 0.00425388
0.848 0.00333524
0.856 0.00461571
0.864 0.00588504
0.872 0.00714578
0.88 0.00839487
0.888 0.00963463
0.896 0.0108622
0.904 0.0120797
0.912 0.0132846
0.92 0.0144788
0.928 0.0156598
0.936 0.0168288
0.944 0.0179843
0.952 0.0191265
0.96 0.0202548
0.968 0.0213693
0.976 0.0224696
0.984 0.0235557
0.992 0.0246273
1 0.0256842
1.008 0.0267262
1.016 0.027753
1.024 0.0287646
1.032 0.0297606
1.04 0.0307411
1.048 0.0317054
1.056 0.0326538
1.064 0.0335851
1.072 0.0345005
1.08 0.0353986
1.088 0.0362804
1.096 0.0371447
1.104 0.0379926
1.112 0.0388228
1.12 0.0396364
1.128 0.040432
1.136 0.041211
1.144 0.0419718
1.152 0.0427157
1.16 0.0434414
1.168 0.0441501
1.176 0.0448404
1.184 0.0455136
1.192 0.0461682
1.2 0.0468057
1.208 0.0474245
1.216 0.0480261
1.224 0.048609
1.232 0.0491746
1.24 0.0497216
1.248 0.0502511
1.256 0.0507621
1.264 0.0512556
1.272 0.0517306
1.28 0.0521882
1.288 0.0526274
1.296 0.0530494
1.304 0.0534529
1.312 0.0538391
1.32 0.054207
1.328 0.0545578
1.336 0.0548904
1.344 0.0552059
1.352 0.0555034
1.36 0.0557839
1.368 0.0560467
1.376 0.0562925
1.384 0.0565207
1.392 0.0567321
1.4 0.0569262
1.408 0.0571037
1.416 0.057264
1.424 0.0574078
1.432 0.0575346
1.44 0.0576451
1.448 0.057739
1.456 0.0578167
1.464 0.057878
1.472 0.0579234
1.48 0.0579527
1.488 0.0579663
1.496 0.0579641
1.504 0.0579463
1.512 0.0579131
1.52 0.0578645
1.528 0.0578009
1.536 0.0577222
1.544 0.0576288
1.552 0.0575205
1.56 0.0573978
1.568 0.0572606
1.576 0.0571094
1.584 0.0569438
1.592 0.0567645
1.6 0.0565712
1.608 0.0563647
1.616 0.0561443
1.624 0.0559111
1.632 0.0556643
1.64 0.0554051
1.648 0.0551327
1.656 0.0548482
1.664 0.0545509
1.672 0.0542418
1.68 0.0539202
1.69 0.0535004
1.6975 0.0531749
1.705 0.0528398
1.7125 0.0524944
1.72 0.0521398
1.73 0.0516491
1.74 0.0511427
1.74667 0.0507975
1.75333 0.0504456
1.76 0.0500864
1.77 0.0495328
1.78 0.0489633
1.79 0.0483802
1.795 0.0480849
1.8 0.0477864
1.81 0.0471747
1.82 0.0465513
1.83 0.0459141
1.84 0.0452665
1.85 0.0446056
1.86 0.043935
1.87 0.0432518
1.875 0.0429083
1.88 0.0425618
1.89 0.0418594
1.9 0.0411455
1.91 0.0404238
1.92 0.0396913
1.93 0.0389518
1.94 0.0382022
1.95 0.0374463
1.96 0.0366812
1.97 0.0359104
1.98 0.0351313
1.99 0.0343474
2 0.0335559
2.01 0.0327604
2.02 0.0319584
2.03 0.0311534
2.04 0.0303429
2.05 0.0295313
2.06 0.0287148
2.07 0.0278976
2.08 0.027076
2.09 0.0262545
2.1 0.0254292
2.11 0.0246045
2.12 0.0237768
2.13 0.0229503
2.14 0.0221214
2.15 0.0212941
2.16 0.0204653
2.17 0.0196388
2.18 0.0188113
2.19 0.0179867
2.195 0.0175744
2.2 0.0171628
2.21 0.01634
2.22 0.0155211
2.23 0.0147033
2.24 0.0138908
2.25 0.0130799
2.26 0.0122747
2.27 0.0114717
2.28 0.0106748
2.29 0.00988069
2.3 0.00909304
2.31 0.00830873
2.32 0.00753133
2.33 0.00675867
2.34 0.00599343
2.35 0.00523265
2.36 0.00447942
2.37 0.00373114
2.38 0.00299078
2.39 0.00225589
2.4 0.00153022
2.41 0.00081072
2.42 0.000183005
2.43 0.00069993
2.44 0.0014707
2.45 0.00223325
2.46 0.00298959
2.47 0.00373717
2.48 0.0044778
2.49 0.00520913
2.5 0.00593283
2.51 0.00664674
2.52 0.00735209
2.53 0.00804717
2.54 0.00873339
2.55 0.00940891
2.56 0.010075
2.57 0.01073
2.58 0.0113749
2.59 0.0120083
2.6 0.0126311
2.61 0.013242
2.62 0.013842
2.63 0.0144299
2.64 0.0150064
2.65 0.0155703
2.66 0.0161221
2.67 0.0166615
2.68 0.0171884
2.69 0.0177023
2.7 0.0182034
2.71 0.0186915
2.72 0.0191667
2.73 0.0196287
2.74 0.0200774
2.75 0.0205126
2.76 0.0209344
2.77 0.0213427
2.78 0.0217373
2.79 0.0221185
2.8 0.0224859
2.81 0.0228397
2.82 0.0231797
2.83 0.0235062
2.84 0.0238187
2.85 0.0241177
2.86 0.0244027
2.87 0.0246741
2.88 0.0249318
2.89 0.0251758
2.9 0.025406
